currency,slack_guard,job,kind,work_fge_ms,deadline_ms,finish_ms,latency_ms,met_deadline
wall,False,video,video,420.0,,529.388,529.388,True
wall,False,u0,urgent,30.0,110.0,146.498,111.498,False
wall,False,u1,urgent,30.0,180.0,138.062,103.062,True
wall,False,u2,urgent,20.0,135.0,122.75,87.75,True
wall,False,u3,urgent,25.0,155.0,130.898,95.898,True
sm_time,False,video,video,420.0,,530.075,530.075,True
sm_time,False,u0,urgent,30.0,110.0,146.518,111.518,False
sm_time,False,u1,urgent,30.0,180.0,142.28,107.28,True
sm_time,False,u2,urgent,20.0,135.0,123.362,88.362,True
sm_time,False,u3,urgent,25.0,155.0,131.856,96.856,True
fge_progress,False,video,video,420.0,,530.914,530.914,True
fge_progress,False,u0,urgent,30.0,110.0,146.264,111.264,False
fge_progress,False,u1,urgent,30.0,180.0,146.463,111.463,True
fge_progress,False,u2,urgent,20.0,135.0,118.703,83.703,True
fge_progress,False,u3,urgent,25.0,155.0,135.39,100.39,True
dominant_time,False,video,video,420.0,,530.075,530.075,True
dominant_time,False,u0,urgent,30.0,110.0,146.518,111.518,False
dominant_time,False,u1,urgent,30.0,180.0,142.28,107.28,True
dominant_time,False,u2,urgent,20.0,135.0,123.362,88.362,True
dominant_time,False,u3,urgent,25.0,155.0,131.856,96.856,True
wall,True,video,video,420.0,,530.295,530.295,True
wall,True,u0,urgent,30.0,110.0,99.451,64.451,True
wall,True,u1,urgent,30.0,180.0,146.754,111.754,True
wall,True,u2,urgent,20.0,135.0,123.984,88.984,True
wall,True,u3,urgent,25.0,155.0,143.92,108.92,True
sm_time,True,video,video,420.0,,531.482,531.482,True
sm_time,True,u0,urgent,30.0,110.0,99.417,64.417,True
sm_time,True,u1,urgent,30.0,180.0,148.162,113.162,True
sm_time,True,u2,urgent,20.0,135.0,123.777,88.777,True
sm_time,True,u3,urgent,25.0,155.0,141.3,106.3,True
fge_progress,True,video,video,420.0,,531.469,531.469,True
fge_progress,True,u0,urgent,30.0,110.0,99.478,64.478,True
fge_progress,True,u1,urgent,30.0,180.0,148.478,113.478,True
fge_progress,True,u2,urgent,20.0,135.0,123.561,88.561,True
fge_progress,True,u3,urgent,25.0,155.0,141.465,106.465,True
dominant_time,True,video,video,420.0,,531.482,531.482,True
dominant_time,True,u0,urgent,30.0,110.0,99.417,64.417,True
dominant_time,True,u1,urgent,30.0,180.0,148.162,113.162,True
dominant_time,True,u2,urgent,20.0,135.0,123.777,88.777,True
dominant_time,True,u3,urgent,25.0,155.0,141.3,106.3,True
