quantum_ms,mode,switch_ms,io_fraction,useful_compute_fraction
20.0,one_way_or_full_duplex_lower_bound,906.808,0.978421,0.021579
20.0,serialized_evict_plus_load,1813.616,0.989093,0.010907
50.0,one_way_or_full_duplex_lower_bound,906.808,0.947743,0.052257
50.0,serialized_evict_plus_load,1813.616,0.97317,0.02683
100.0,one_way_or_full_duplex_lower_bound,906.808,0.900676,0.099324
100.0,serialized_evict_plus_load,1813.616,0.947743,0.052257
200.0,one_way_or_full_duplex_lower_bound,906.808,0.8193,0.1807
200.0,serialized_evict_plus_load,1813.616,0.900676,0.099324
500.0,one_way_or_full_duplex_lower_bound,906.808,0.644585,0.355415
500.0,serialized_evict_plus_load,1813.616,0.783888,0.216112
1000.0,one_way_or_full_duplex_lower_bound,906.808,0.475563,0.524437
1000.0,serialized_evict_plus_load,1813.616,0.644585,0.355415
5000.0,one_way_or_full_duplex_lower_bound,906.808,0.153519,0.846481
5000.0,serialized_evict_plus_load,1813.616,0.266175,0.733825
10000.0,one_way_or_full_duplex_lower_bound,906.808,0.083141,0.916859
10000.0,serialized_evict_plus_load,1813.616,0.153519,0.846481
20000.0,one_way_or_full_duplex_lower_bound,906.808,0.043374,0.956626
20000.0,serialized_evict_plus_load,1813.616,0.083141,0.916859
40000.0,one_way_or_full_duplex_lower_bound,906.808,0.022168,0.977832
40000.0,serialized_evict_plus_load,1813.616,0.043374,0.956626
