workload,sm_share,wall_ms,wall_charge,wall_ratio_to_full,sm_time_charge,sm_time_ratio_to_full,fge_progress_charge,fge_progress_ratio_to_full,dominant_time_charge,dominant_time_ratio_to_full
compute_dit,1.0,24.0,24.0,1.0,24.0,1.0,24.0,1.0,24.0,1.0
compute_dit,0.75,32.745,32.745,1.3644,24.5588,1.0233,24.0,1.0,24.5588,1.0233
compute_dit,0.5,50.7369,50.7369,2.114,25.3684,1.057,24.0,1.0,25.3684,1.057
compute_dit,0.25,107.2596,107.2596,4.4691,26.8149,1.1173,24.0,1.0,26.8149,1.1173
streamed_dit,1.0,28.0,28.0,1.0,28.0,1.0,28.0,1.0,28.0,1.0
streamed_dit,0.75,35.3458,35.3458,1.2624,26.5094,0.9468,28.0,1.0,26.5094,0.9468
streamed_dit,0.5,50.459,50.459,1.8021,25.2295,0.9011,28.0,1.0,25.2295,0.9011
streamed_dit,0.25,101.074,101.074,3.6098,25.2685,0.9024,28.0,1.0,25.2685,0.9024
bandwidth_job,1.0,6.0,6.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0
bandwidth_job,0.75,6.0,6.0,1.0,4.5,0.75,6.0,1.0,5.7,0.95
bandwidth_job,0.5,6.0,6.0,1.0,3.0,0.5,6.0,1.0,5.7,0.95
bandwidth_job,0.25,8.4,8.4,1.4,2.1,0.35,6.0,1.0,5.7,0.95
